Instcode;Unieknr;Volgnrar;Aadnstvb;Ingdatdv;Eindatdv;HOOPgeb;Functcat;WelGeenHGL;Salschal;Taakomv;Aanst_22;Peildat
AAA;4037;1;V;20040101;99990101;NATU;10940;0;10;6000;V;20191231
AAA;4037;1;T;19000101;99990101;NATU;11010;0;10;10000;L;20201231
AAA;403750;1;T;19000101;99990101;G&M;10840;0;12;3000;K;20181231
AAA;4038;1;V;20040101;99990101;DIV;20210;0;12;4500;V;20191231
AAA;4038;2;V;20040101;99990101;DIV;60710;0;12;4500;V;20191231
AAA;4038;1;T;19000101;99990101;NATU;11010;0;10;10000;K;20201231
AAA;4039;1;V;20040101;99990101;DIV;30210;0;6;10000;V;20191231
AAA;4039;1;T;19000101;99990101;NATU;10940;0;10;8000;K;20201231
AAA;404;1;T;20040101;99990101;ECON;30230;0;4;4000;T;20191231
AAA;404;1;V;19000101;99990101;ECON;10520;0;16;2000;V;20201231
AAA;4040;1;V;20040101;99990101;G&M;21040;0;8;8000;V;20191231
AAA;4040;1;T;19000101;99990101;G&M;10940;0;10;6000;K;20201231
AAA;4041;2;T;20040101;99990101;G&M;10940;0;10;3000;K;20191231
AAA;4041;1;T;20040101;99990101;G&M;10840;0;10;4000;K;20191231
AAA;4041;1;V;19000101;99990101;G&M;10610;0;14;9000;V;20201231
AAA;4042;1;T;20040101;99990101;G&M;21040;0;7;10000;K;20191231
AAA;4042;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;404223;1;V;20140101;99990101;G&M;10710;0;13;10000;V;20171231
AAA;404223;1;V;19000101;99990101;G&M;10620;0;13;10000;V;20181231
AAA;404246;1;V;20000101;99990101;ECON;30130;0;8;10000;V;20171231
AAA;404246;1;V;19000101;99990101;ECON;30130;0;8;10000;V;20181231
AAA;4043;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;4043;1;V;19000101;99990101;RECH;10510;0;18;1000;V;20201231
AAA;4044;1;V;20040101;99990101;G&M;10840;0;14;6000;V;20191231
AAA;4044;1;T;19000101;99990101;ECON;11010;0;10;10000;L;20201231
AAA;404442;1;T;20160101;99990101;RECH;10830;0;10;10000;K;20171231
AAA;4045;1;V;20040101;99990101;ECON;30820;0;7;7000;V;20191231
AAA;4045;1;V;19000101;99990101;ECON;10710;0;12;2000;V;20201231
AAA;404576;1;V;20170101;99990101;DIV;100230;0;6;10000;V;20171231
AAA;404576;1;V;19000101;99990101;DIV;100230;0;6;10000;V;20181231
AAA;4046;1;V;20040101;99990101;ECON;21030;0;8;10000;V;20191231
AAA;4046;1;V;19000101;99990101;ECON;100910;0;10;10000;V;20201231
AAA;404635;1;T;20130101;99990101;ECON;11010;0;10;10000;K;20171231
AAA;404635;1;T;19000101;99990101;ECON;10840;0;11;10000;L;20181231
AAA;4047;1;V;20040101;99990101;G&M;30830;0;6;6000;V;20191231
AAA;4047;1;V;19000101;99990101;DIV;30210;0;6;10000;V;20201231
AAA;4048;1;V;20040101;99990101;DIV;80410;0;12;8000;V;20191231
AAA;4048;1;V;19000101;99990101;DIV;90310;0;12;8000;V;20201231
AAA;404806;1;T;19000101;99990101;ECON;11010;0;10;10000;L;20181231
AAA;4049;1;V;20040101;99990101;DIV;30120;0;9;10000;V;20191231
AAA;4049;1;V;19000101;99990101;DIV;60420;0;10;8000;V;20201231
AAA;404970;1;V;20140101;99990101;ECON;10610;0;14;10000;V;20171231
AAA;404970;1;T;19000101;99990101;ECON;10210;0;16;7000;T;20181231
AAA;404970;1;V;19000101;99990101;ECON;10610;0;16;3000;V;20181231
AAA;405;1;T;20040101;99990101;DIV;80420;0;10;10000;K;20191231
AAA;405;1;T;19000101;99990101;ECON;11010;0;10;10000;K;20201231
AAA;4050;1;V;20040101;99990101;G&M;10510;1;18;10000;V;20191231
AAA;4050;1;V;19000101;99990101;NATU;10920;0;12;10000;V;20201231
AAA;4051;1;V;20040101;99990101;DIV;30430;0;12;10000;V;20191231
AAA;4051;1;V;19000101;99990101;G&M;10520;0;16;10000;V;20201231
AAA;4052;1;V;20040101;99990101;G&M;10930;0;11;10000;V;20191231
AAA;4052;1;T;19000101;99990101;DIV;60220;0;11;10000;K;20201231
AAA;4053;1;V;20040101;99990101;G&M;71120;0;9;10000;V;20191231
AAA;4053;1;V;19000101;99990101;DIV;80310;0;11;10000;V;20201231
AAA;40530;1;T;19000101;99990101;ECON;10930;0;11;7000;L;20181231
AAA;405309;1;T;19000101;99990101;G&M;10840;0;10;10000;K;20181231
AAA;405388;1;V;20150101;99990101;DIV;21920;0;10;8000;V;20171231
AAA;405388;1;V;19000101;99990101;DIV;21920;0;10;8000;V;20181231
AAA;4054;1;V;20040101;99990101;ECON;21020;0;9;10000;V;20191231
AAA;4054;1;V;19000101;99990101;RECH;10520;0;16;10000;V;20201231
AAA;4055;1;T;20040101;99990101;DIV;70110;0;13;10000;K;20191231
AAA;4055;1;V;19000101;99990101;ECON;10920;0;12;2000;V;20201231
AAA;4056;1;V;20040101;99990101;ECON;70120;0;12;10000;V;20191231
AAA;4056;1;T;19000101;99990101;G&M;10940;0;10;8000;K;20201231
AAA;405673;1;T;20140101;99990101;RECH;11010;0;10;10000;K;20171231
AAA;405673;1;T;19000101;99990101;RECH;11010;0;10;10000;L;20181231
AAA;4057;1;V;20040101;99990101;NATU;10720;0;11;8000;V;20191231
AAA;4057;1;V;19000101;99990101;G&M;10720;0;11;10000;V;20201231
AAA;405751;1;T;20170101;99990101;G&M;11010;0;10;10000;K;20171231
AAA;405751;1;T;19000101;99990101;G&M;11010;0;10;10000;L;20181231
AAA;4058;1;T;20040101;99990101;DIV;70120;0;12;9000;K;20191231
AAA;4058;1;V;19000101;99990101;ECON;10620;0;13;10000;V;20201231
AAA;4059;1;V;20040101;99990101;RECH;10610;0;14;5000;V;20191231
AAA;4059;2;V;20040101;99990101;RECH;10520;1;16;4000;V;20191231
AAA;4059;1;V;19000101;99990101;DIV;60120;0;10;9000;V;20201231
AAA;405905;1;V;20150101;99990101;DIV;100440;0;7;600;V;20171231
AAA;406;1;V;20040101;99990101;ECON;10710;0;12;10000;V;20191231
AAA;406;1;T;19000101;99990101;DIV;90210;0;9;5000;K;20201231
AAA;4060;1;V;20040101;99990101;ECON;10520;1;16;2000;V;20191231
AAA;4060;1;V;19000101;99990101;NATU;70130;0;11;9040;V;20201231
AAA;406015;1;T;20170101;99990101;G&M;10830;0;11;1000;K;20171231
AAA;406015;1;T;19000101;99990101;G&M;10830;0;11;1000;K;20181231
AAA;406019;1;V;20140101;99990101;DIV;70320;0;12;10000;V;20171231
AAA;406019;1;V;19000101;99990101;DIV;70320;0;12;10000;V;20181231
AAA;406022;1;V;20160101;99990101;ECON;10720;0;11;10000;L;20171231
AAA;406022;1;T;19000101;99990101;ECON;10720;0;11;10000;L;20181231
AAA;406077;1;V;20140101;99990101;NATU;20420;0;7;9500;V;20171231
AAA;406077;1;V;19000101;99990101;NATU;20420;0;7;9500;V;20181231
AAA;4061;1;T;20040101;99990101;ECON;70920;0;9;5000;K;20191231
AAA;4061;1;T;19000101;99990101;G&M;11010;0;10;10000;L;20201231
AAA;4062;1;V;20040101;99990101;G&M;21040;0;7;4000;V;20191231
AAA;4062;1;V;19000101;99990101;DIV;51030;0;6;10000;V;20201231
AAA;4063;1;T;20040101;99990101;DIV;990900;0;99;7500;K;20191231
AAA;4063;1;V;19000101;99990101;DIV;90350;0;8;4000;V;20201231
AAA;4063;2;T;19000101;99990101;DIV;90220;0;8;4000;K;20201231
AAA;406303;1;T;20150101;99990101;G&M;10720;0;11;10000;K;20171231
AAA;406303;1;T;19000101;99990101;G&M;10720;0;11;10000;L;20181231
AAA;4064;1;V;20040101;99990101;RECH;30810;0;8;10000;V;20191231
AAA;4064;1;T;19000101;99990101;ECON;10840;0;10;10000;K;20201231
AAA;4065;1;V;20040101;99990101;G&M;100920;0;9;8000;V;20191231
AAA;4065;1;T;19000101;99990101;RECH;10940;0;10;10000;K;20201231
AAA;4066;1;T;20040101;99990101;ECON;21040;0;7;6000;K;20191231
AAA;4066;1;T;19000101;99990101;ECON;11010;0;10;10000;K;20201231
AAA;406698;1;V;20090101;99990101;DIV;20110;0;7;6000;V;20171231
AAA;406698;1;V;19000101;99990101;DIV;20110;0;7;6000;V;20181231
AAA;406699;1;V;20100101;99990101;DIV;51710;0;10;10000;V;20171231
AAA;406699;1;V;19000101;99990101;DIV;51710;0;10;10000;V;20181231
AAA;4067;1;V;20040101;99990101;DIV;60330;0;7;10000;V;20191231
AAA;4067;1;T;19000101;99990101;NATU;10720;0;11;10000;L;20201231
AAA;4068;1;V;20040101;99990101;NATU;10920;0;12;500;V;20191231
AAA;4068;1;V;19000101;99990101;NATU;10520;0;16;10000;V;20201231
AAA;4069;1;V;20040101;99990101;DIV;60330;0;7;9000;V;20191231
AAA;4069;1;T;19000101;99990101;NATU;10840;0;11;10000;K;20201231
AAA;407;1;T;20040101;99990101;RECH;22140;0;10;1000;K;20191231
AAA;407;1;V;19000101;99990101;NATU;10710;0;12;6000;V;20201231
AAA;4070;1;V;20040101;99990101;G&M;21020;0;9;10000;V;20191231
AAA;4070;1;V;19000101;99990101;DIV;51320;0;4;3500;V;20201231
AAA;4071;1;T;20040101;99990101;G&M;11010;0;10;10000;L;20191231
AAA;4071;1;V;19000101;99990101;G&M;10930;0;11;10000;V;20201231
AAA;4072;1;V;20040101;99990101;NATU;10930;0;11;10000;V;20191231
AAA;4072;1;V;19000101;99990101;G&M;21120;0;6;10000;V;20201231
AAA;4073;1;T;20040101;99990101;G&M;10940;0;10;5000;T;20191231
AAA;4073;2;V;19000101;99990101;DIV;30110;0;10;2000;V;20201231
AAA;4073;1;V;19000101;99990101;DIV;71530;0;10;6000;V;20201231
AAA;407377;1;V;20140101;99990101;NATU;10840;0;10;10000;K;20171231
AAA;407377;1;T;19000101;99990101;NATU;10840;0;10;10000;L;20181231
AAA;4074;1;T;20150101;99990101;DIV;60810;0;10;10000;K;20191231
AAA;4074;1;V;19000101;99990101;ECON;71520;0;11;8000;V;20201231
AAA;407458;1;V;20130101;99990101;NATU;71120;0;10;10000;V;20171231
AAA;407458;1;V;19000101;99990101;NATU;71120;0;10;10000;V;20181231
AAA;4075;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4075;1;T;19000101;99990101;ECON;10840;0;10;10000;K;20201231
AAA;4076;1;T;19000101;99990101;ECON;990900;0;8;10000;K;20191231
AAA;4076;1;T;19000101;99990101;NATU;10840;0;10;10000;K;20201231
AAA;407609;1;V;19000101;99990101;NATU;10620;0;13;10000;V;20181231
AAA;4077;1;T;20040101;99990101;NATU;11010;0;10;10000;K;20191231
AAA;4077;1;V;19000101;99990101;NATU;10610;0;14;10000;V;20201231
AAA;407795;1;V;20170101;99990101;ECON;10520;1;16;2000;V;20171231
AAA;407795;1;V;19000101;99990101;ECON;10520;1;16;2000;V;20181231
AAA;4078;1;T;20040101;99990101;NATU;70320;0;12;8000;K;20191231
AAA;4078;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;407829;1;V;20050101;99990101;DIV;50510;0;12;4200;V;20171231
AAA;407829;2;T;19000101;99990101;DIV;70110;0;12;4200;T;20171231
AAA;407829;1;V;19000101;99990101;DIV;50510;0;12;8400;V;20181231
AAA;4079;1;T;20040101;99990101;ECON;10940;0;10;10000;L;20191231
AAA;4079;1;V;19000101;99990101;NATU;21030;0;8;10000;V;20201231
AAA;40791;1;V;19000101;99990101;G&M;10930;0;11;9000;V;20181231
AAA;407912;1;V;20100101;99990101;DIV;30120;0;9;10000;V;20171231
AAA;407912;1;V;19000101;99990101;DIV;30120;0;9;10000;V;20181231
AAA;408;1;V;20040101;99990101;ECON;60130;0;9;10000;V;20191231
AAA;408;1;V;19000101;99990101;NATU;60120;0;10;10000;V;20201231
AAA;4080;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;4080;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;4081;1;V;20040101;99990101;DIV;70310;0;13;10000;V;20191231
AAA;4081;1;V;19000101;99990101;G&M;10710;0;12;10000;V;20201231
AAA;408137;1;V;20130101;99990101;G&M;10920;0;12;10000;V;20171231
AAA;408137;1;V;19000101;99990101;G&M;10920;0;12;10000;V;20181231
AAA;4082;1;V;20040101;99990101;G&M;70910;0;10;10000;V;20191231
AAA;4082;1;T;19000101;99990101;G&M;11010;0;10;10000;L;20201231
AAA;408200;1;V;20090101;99990101;G&M;10710;0;12;10000;V;20171231
AAA;408200;1;V;19000101;99990101;G&M;10710;0;12;10000;V;20181231
AAA;40824;1;V;20140101;99990101;ECON;30820;0;7;7000;V;20171231
AAA;40824;1;V;19000101;99990101;ECON;30820;0;7;7000;V;20181231
AAA;4083;1;T;20040101;99990101;G&M;10830;0;11;8000;K;20191231
AAA;4083;1;V;19000101;99990101;G&M;30820;0;7;7980;V;20201231
AAA;408305;1;V;20020101;99990101;T&C;10520;1;16;8000;V;20171231
AAA;408305;1;V;19000101;99990101;T&C;10520;1;16;8000;V;20181231
AAA;408330;1;T;20150101;99990101;G&M;21050;0;6;8000;K;20171231
AAA;408330;1;V;19000101;99990101;G&M;21050;0;6;8000;V;20181231
AAA;408354;1;T;19000101;99990101;ECON;990900;0;99;8000;K;20181231
AAA;408375;1;T;20170101;99990101;G&M;10710;0;12;2000;K;20171231
AAA;408375;1;V;19000101;99990101;G&M;10710;0;12;10000;V;20181231
AAA;4084;1;T;20040101;99990101;ECON;10840;0;7;10000;K;20191231
AAA;4084;1;V;19000101;99990101;ECON;100210;0;9;10000;V;20201231
AAA;408425;1;V;20080101;99990101;ECON;30220;0;5;6000;V;20171231
AAA;408425;1;V;19000101;99990101;ECON;30220;0;5;6000;V;20181231
AAA;4085;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4085;1;T;19000101;99990101;RECH;70330;0;10;10000;K;20201231
AAA;408587;1;T;20140101;99990101;ECON;10940;0;10;10000;K;20171231
AAA;408587;1;V;19000101;99990101;ECON;10940;0;10;10000;V;20181231
AAA;4086;1;T;20040101;99990101;ECON;10830;0;11;10000;K;20191231
AAA;4086;1;V;19000101;99990101;NATU;10710;0;12;10000;V;20201231
AAA;408653;1;T;20140101;99990101;G&M;11010;0;10;10000;K;20171231
AAA;408693;1;V;20150101;99990101;RECH;30820;0;7;8000;V;20171231
AAA;408693;1;V;19000101;99990101;RECH;30820;0;7;8000;V;20181231
AAA;4087;1;V;20040101;99990101;G&M;10710;0;12;8000;V;20191231
AAA;4087;1;T;19000101;99990101;NATU;90230;0;8;4000;K;20201231
AAA;4088;1;T;20040101;99990101;NATU;10840;0;10;10000;K;20191231
AAA;4088;1;T;19000101;99990101;NATU;11010;0;10;10000;L;20201231
AAA;4089;1;T;20040101;99990101;NATU;11010;0;10;10000;K;20191231
AAA;4089;1;V;19000101;99990101;G&M;10930;0;11;6000;V;20201231
AAA;408943;1;V;20170101;99990101;DIV;30120;0;9;10000;V;20171231
AAA;408943;1;V;19000101;99990101;DIV;30120;0;9;10000;V;20181231
AAA;409;1;T;20040101;99990101;DIV;100230;0;7;10000;K;20191231
AAA;409;1;T;19000101;99990101;NATU;10840;0;10;10000;L;20201231
AAA;4090;1;T;20040101;99990101;G&M;10720;0;12;2000;K;20191231
AAA;4090;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;4091;1;V;20040101;99990101;G&M;10940;0;10;7000;V;20191231
AAA;4091;2;T;20040101;99990101;G&M;10840;0;10;3000;K;20191231
AAA;4091;1;V;19000101;99990101;DIV;51230;0;6;10000;V;20201231
AAA;4092;1;V;20040101;99990101;G&M;10830;0;11;10000;V;20191231
AAA;4092;1;V;19000101;99990101;DIV;51320;0;4;1500;V;20201231
AAA;4093;1;T;20040101;99990101;G&M;10840;0;10;8000;L;20191231
AAA;4093;1;V;19000101;99990101;G&M;21030;0;8;6000;V;20201231
AAA;409307;1;T;20170101;99990101;ECON;11010;0;10;6500;K;20171231
AAA;4094;1;V;20040101;99990101;ECON;100910;0;10;8000;V;20191231
AAA;4094;1;V;19000101;99990101;RECH;10720;0;11;10000;V;20201231
AAA;4095;1;V;20040101;99990101;ECON;21010;0;10;10000;V;20191231
AAA;4095;1;T;19000101;99990101;ECON;11010;0;10;10000;K;20201231
AAA;4096;1;T;20040101;99990101;G&M;10720;0;11;10000;K;20191231
AAA;4096;1;V;19000101;99990101;G&M;10620;0;13;10000;V;20201231
AAA;409615;1;V;20000101;99990101;DIV;30120;0;9;4500;V;20171231
AAA;409615;1;V;19000101;99990101;DIV;30120;0;9;4500;V;20181231
AAA;4097;1;T;20040101;99990101;NATU;10840;0;10;0;K;20191231
AAA;4097;1;V;19000101;99990101;NATU;100220;0;8;6980;V;20201231
AAA;4098;1;V;20040101;99990101;NATU;21020;0;9;6000;V;20191231
AAA;4098;1;T;19000101;99990101;NATU;11010;0;10;10000;K;20201231
AAA;4099;1;T;20040101;99990101;G&M;10830;0;10;8000;K;20191231
AAA;4099;1;V;19000101;99990101;NATU;21030;0;8;7300;V;20201231
AAA;41;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;41;1;T;19000101;99990101;G&M;10830;0;10;5000;K;20201231
AAA;410;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;410;1;V;19000101;99990101;ECON;90120;0;11;10000;V;20201231
AAA;4100;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;4100;1;V;19000101;99990101;G&M;60310;0;9;10000;V;20201231
AAA;4101;1;V;20040101;99990101;G&M;100220;0;8;8000;V;20191231
AAA;4101;1;V;19000101;99990101;G&M;10710;0;12;10000;V;20201231
AAA;4102;1;V;20040101;99990101;NATU;10710;0;12;10000;V;20191231
AAA;4102;1;V;19000101;99990101;DIV;50520;0;10;8000;V;20201231
AAA;4103;1;T;20040101;99990101;G&M;10840;0;10;10000;K;20191231
AAA;4103;1;V;19000101;99990101;ECON;10610;0;14;10000;V;20201231
AAA;410305;1;V;20100101;99990101;DIV;70350;0;9;8000;V;20171231
AAA;410305;1;V;19000101;99990101;DIV;70350;0;9;8000;V;20181231
AAA;4104;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4104;1;T;19000101;99990101;G&M;11010;0;10;6000;K;20201231
AAA;4105;1;V;20040101;99990101;ECON;21010;0;10;10000;V;20191231
AAA;4105;1;T;19000101;99990101;ECON;71040;0;10;8000;K;20201231
AAA;4106;1;T;20040101;99990101;ECON;10840;0;10;10000;L;20191231
AAA;4106;1;T;19000101;99990101;G&M;10940;0;10;2000;K;20201231
AAA;41069;1;V;19990101;99990101;NATU;100220;0;8;6980;V;20171231
AAA;41069;1;V;19000101;99990101;NATU;100220;0;8;7000;V;20181231
AAA;4107;1;V;20040101;99990101;DIV;90320;0;11;6000;V;20191231
AAA;4107;1;V;19000101;99990101;G&M;10710;0;12;8000;V;20201231
AAA;410789;1;V;20090101;99990101;G&M;21030;0;8;10000;V;20171231
AAA;410789;1;V;19000101;99990101;G&M;21030;0;8;10000;V;20181231
AAA;4108;1;V;20130101;99990101;DIV;20110;0;8;8000;V;20191231
AAA;4108;1;V;19000101;99990101;RECH;10520;0;16;10000;V;20201231
AAA;4109;1;T;20040101;99990101;NATU;21040;0;7;10000;K;20191231
AAA;4109;1;T;19000101;99990101;NATU;10840;0;10;10000;K;20201231
AAA;410974;1;V;20140101;99990101;DIV;30830;0;6;8000;V;20171231
AAA;410974;1;V;19000101;99990101;DIV;30820;0;7;8000;V;20181231
AAA;411;1;V;19000101;99990101;G&M;990900;0;8;9500;V;20191231
AAA;411;1;V;19000101;99990101;NATU;10610;0;14;10000;V;20201231
AAA;4110;1;V;20040101;99990101;G&M;10710;0;12;10000;V;20191231
AAA;4110;1;V;19000101;99990101;G&M;10620;0;13;10000;V;20201231
AAA;4111;1;V;20040101;99990101;ECON;10510;1;18;10000;V;20191231
AAA;4111;1;T;19000101;99990101;RECH;10840;0;10;10000;K;20201231
AAA;4112;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;4112;1;T;19000101;99990101;G&M;10840;0;10;10000;L;20201231
AAA;4113;1;V;20040101;99990101;ECON;10510;1;18;10000;V;20191231
AAA;4113;1;V;19000101;99990101;G&M;10510;0;18;10000;V;20201231
AAA;4114;1;T;20040101;99990101;G&M;10720;0;11;10000;K;20191231
AAA;4114;1;V;19000101;99990101;ECON;10520;0;16;10000;V;20201231
AAA;4115;1;V;20040101;99990101;NATU;10520;1;16;2000;V;20191231
AAA;4115;1;V;19000101;99990101;ECON;21140;0;4;8000;V;20201231
AAA;4116;1;T;20040101;99990101;G&M;10620;0;13;10000;K;20191231
AAA;4116;1;V;19000101;99990101;G&M;10720;0;11;10000;V;20201231
AAA;41164;1;V;20080101;99990101;ECON;21040;0;7;8000;V;20171231
AAA;41164;1;V;19000101;99990101;ECON;21040;0;7;8000;V;20181231
AAA;4117;1;V;20040101;99990101;RECH;10510;1;18;5000;V;20191231
AAA;4117;1;V;19000101;99990101;NATU;30140;0;7;8000;V;20201231
AAA;4118;1;V;20170101;99990101;DIV;100120;0;8;10000;V;20191231
AAA;4118;1;T;19000101;99990101;NATU;10830;0;11;8000;K;20201231
AAA;4119;1;T;20040101;99990101;NATU;11010;0;10;10000;K;20191231
AAA;4119;1;V;19000101;99990101;NATU;30130;0;8;9000;V;20201231
AAA;411909;1;T;20150101;99990101;RECH;10930;0;10;10000;K;20171231
AAA;411909;1;V;19000101;99990101;RECH;10720;0;11;10000;V;20181231
AAA;411962;1;V;20140101;99990101;DIV;60120;0;10;10000;V;20171231
AAA;411962;1;V;19000101;99990101;DIV;60120;0;10;10000;V;20181231
AAA;412;1;T;20040101;99990101;G&M;11010;0;10;10000;L;20191231
AAA;412;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;4120;1;V;20130101;99990101;DIV;20110;0;7;9000;V;20191231
AAA;4120;1;T;19000101;99990101;DIV;30120;0;9;10000;K;20201231
AAA;4121;1;V;20040101;99990101;G&M;30820;0;7;8000;V;20191231
AAA;4121;1;T;19000101;99990101;G&M;70320;0;12;8000;K;20201231
AAA;4122;1;V;20040101;99990101;ECON;10510;1;18;10000;V;20191231
AAA;4122;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;4123;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4123;1;T;19000101;99990101;ECON;21050;0;6;10000;K;20201231
AAA;4124;1;V;20040101;99990101;DIV;70320;0;12;10000;V;20191231
AAA;4124;1;T;19000101;99990101;G&M;11010;0;10;10000;K;20201231
AAA;4125;1;T;20040101;99990101;DIV;70830;0;11;10000;T;20191231
AAA;4125;1;V;19000101;99990101;NATU;10720;0;11;10000;V;20201231
AAA;4126;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4126;1;T;19000101;99990101;G&M;10840;0;11;10000;K;20201231
AAA;4127;1;V;20040101;99990101;DIV;21730;0;11;10000;V;20191231
AAA;4127;1;V;19000101;99990101;NATU;10720;0;11;10000;V;20201231
AAA;412791;1;T;19000101;99990101;ECON;10940;0;10;8000;K;20181231
AAA;4128;1;V;20040101;99990101;NATU;10940;0;10;9000;V;20191231
AAA;4128;1;T;19000101;99990101;NATU;21040;0;7;10000;K;20201231
AAA;412874;1;V;20170101;99990101;ECON;10820;0;12;2000;L;20171231
AAA;412874;1;T;19000101;99990101;ECON;10820;0;12;2000;L;20181231
AAA;4129;1;V;20040101;99990101;NATU;10620;0;13;10000;V;20191231
AAA;4129;1;T;19000101;99990101;NATU;11010;0;10;10000;K;20201231
AAA;413;1;V;20040101;99990101;DIV;80410;0;11;10000;V;20191231
AAA;413;1;T;19000101;99990101;G&M;10830;0;11;2000;K;20201231
AAA;4130;1;T;20040101;99990101;G&M;11010;0;10;10000;K;20191231
AAA;4130;1;V;19000101;99990101;DIV;30820;0;7;10000;V;20201231
AAA;4131;1;V;20040101;99990101;DIV;30440;0;11;8000;V;20191231
AAA;4131;1;V;19000101;99990101;G&M;990900;0;10;10000;V;20201231
AAA;413168;1;T;19000101;99990101;NATU;90210;0;9;10000;K;20181231
AAA;4132;1;V;20040101;99990101;G&M;21140;0;4;10000;V;20191231
AAA;4132;1;T;19000101;99990101;NATU;11010;0;10;10000;K;20201231
AAA;413252;1;T;19000101;99990101;G&M;10940;0;10;7000;K;20181231
AAA;4133;1;V;20040101;99990101;ECON;10520;1;16;10000;V;20191231
AAA;4133;1;V;19000101;99990101;DIV;60810;0;10;8000;V;20201231
AAA;413303;1;T;20160101;99990101;G&M;10830;0;11;9500;K;20171231
AAA;413303;1;T;19000101;99990101;G&M;10830;0;11;10000;K;20181231
AAA;4134;1;V;20040101;99990101;ECON;10720;0;11;10000;V;20191231
AAA;4134;1;V;19000101;99990101;DIV;90130;0;10;6000;V;20201231
AAA;4135;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4135;1;T;19000101;99990101;ECON;10940;0;10;10000;K;20201231
AAA;41354;1;T;20140101;99990101;ECON;11010;0;10;10000;K;20171231
AAA;4136;1;V;20040101;99990101;ECON;30820;0;7;6000;V;20191231
AAA;4136;1;T;19000101;99990101;ECON;21040;0;7;8000;K;20201231
AAA;413641;1;T;20170101;99990101;G&M;10940;0;10;8000;K;20171231
AAA;4137;1;T;20040101;99990101;ECON;30230;0;99;4000;K;20191231
AAA;4137;1;V;19000101;99990101;G&M;21040;0;7;8000;V;20201231
AAA;413712;1;V;20010101;99990101;DIV;20110;0;7;6000;V;20171231
AAA;413712;1;V;19000101;99990101;DIV;20110;0;7;6000;V;20181231
AAA;413713;1;V;20050101;99990101;G&M;10520;1;16;10000;V;20171231
AAA;413713;1;V;19000101;99990101;G&M;10520;1;16;10000;V;20181231
AAA;4138;1;V;20040101;99990101;G&M;90220;0;7;8000;V;20191231
AAA;4138;1;V;19000101;99990101;G&M;30820;0;7;10000;V;20201231
AAA;4139;1;T;20040101;99990101;NATU;11010;0;10;10000;K;20191231
AAA;4139;1;V;19000101;99990101;DIV;30820;0;8;7500;V;20201231
AAA;413985;1;T;20170101;99990101;ECON;51920;0;6;4000;K;20171231
AAA;413985;1;T;19000101;99990101;ECON;51920;0;6;4000;K;20181231
AAA;414;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;414;1;V;19000101;99990101;RECH;90210;0;9;7000;V;20201231
AAA;4140;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
AAA;4140;1;V;19000101;99990101;DIV;90120;0;12;10000;V;20201231
AAA;4141;1;V;20040101;99990101;DIV;100420;0;9;9000;V;20191231
AAA;4141;1;V;19000101;99990101;T&C;10710;0;12;8000;V;20201231
AAA;4142;1;V;20040101;99990101;G&M;10610;0;14;10000;V;20191231
AAA;4142;1;V;19000101;99990101;DIV;100810;0;11;8000;V;20201231
AAA;4143;1;T;20040101;99990101;G&M;30840;0;6;5000;K;20191231
AAA;4143;1;V;19000101;99990101;ECON;10710;0;12;10000;V;20201231
AAA;4144;1;V;20040101;99990101;DIV;100430;0;8;5300;V;20191231
AAA;4144;1;V;19000101;99990101;DIV;30430;0;12;10000;V;20201231
AAA;4145;1;V;20040101;99990101;ECON;10920;0;12;5000;V;20191231
AAA;4145;2;T;20040101;99990101;ECON;10940;0;10;200;K;20191231
AAA;4145;1;T;19000101;99990101;ECON;11010;0;7;10000;K;20201231
AAA;4146;1;T;20040101;99990101;ECON;11010;0;10;10000;K;20191231
